"entity_type","risk_type","risk_level","risk_desc","risk_desc_info","info"
"船舶","lloyds_sanctions_his","高风险","船舶历史涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史在制裁名单中下方表格详细记录了劳氏中目标船舶当前受制裁记录"
"船舶","loitering_behavior","无风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无可疑徘徊行为"
"船舶","loitering_behavior","中风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有可疑徘徊行为，下方表格详细记录了劳氏中目标船舶可疑徘徊行为情况"
"船舶","loitering_behavior","高风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有可疑徘徊行为，下方表格详细记录了劳氏中目标船舶可疑徘徊行为情况"
"船舶","possible_dark_port","无风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无暗港访问情况"
"船舶","possible_dark_port","中风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有暗港访问情况，下方表格详细记录了劳氏中目标船舶暗港访问情况"
"船舶","possible_dark_port","高风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有暗港访问情况，下方表格详细记录了劳氏中目标船舶暗港访问情况"
"船舶","sanctioned_sts","无风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无STS转运不合规情况"
"船舶","sanctioned_sts","中风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有STS转运不合规情况，下方表格详细记录了劳氏中目标船舶STS转运不合规情况"
"船舶","sanctioned_sts","高风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有STS转运不合规情况，下方表格详细记录了劳氏中目标船舶STS转运不合规情况"
"船舶","suspicious_ais_gap","无风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无AIS信号缺失情况"
"船舶","suspicious_ais_gap","中风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了劳氏中目标船舶的AIS信号缺失情况"
"船舶","suspicious_ais_gap","高风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了劳氏中目标船舶的AIS信号缺失情况"
"船舶","uani_check","无风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：无风险","船舶当前不在UANI清单中"
"船舶","uani_check","中风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：中风险","船舶在UANI清单中，下方表格详细记录了目标船舶被添加至UANI清单的日期、船旗国等关键信息"
"船舶","uani_check","高风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：高风险","船舶在UANI清单中，下方表格详细记录了目标船舶被添加至UANI清单的日期、船旗国等关键信息"
"船舶","ais_manipulation","无风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无AIS信号伪造和操纵情况"
"船舶","ais_manipulation","中风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了劳氏中目标船舶的AIS信号伪造及篡改记录"
"船舶","ais_manipulation","高风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了劳氏中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","中风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了开普勒中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","高风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了开普勒中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","无风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无AIS信号伪造和操纵情况"
"船舶","lloydsRiskLevel","高风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内被制裁"
"船舶","lloydsRiskLevel","中风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：Medium detected","船舶历史一年内被制裁"
"船舶","lloydsRiskLevel","无风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：LOW risk","船舶历史一年内未被制裁"
"船舶","kplerRiskLevel","无风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内未被制裁"
"船舶","kplerRiskLevel","中风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内被制裁"
"船舶","kplerRiskLevel","高风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内被制裁"
"货物","cargo_country","无风险","货物原产地是否来源于高风险国家","货物原产地判定为：无风险","货物原产地国家未被制裁"
"货物","cargo_country","高风险","货物原产地是否来源于高风险国家","货物原产地判定为：高风险","货物原产地为制裁国家"
"港口","port_country","无风险","港口是否来源于高风险国家","港口所在国家判定为：无风险","港口所在国家未被制裁"
"港口","port_country","高风险","港口是否来源于高风险国家","港口所在国家判定为：高风险","港口所在国家为制裁国家"
